event,catalog_key,status,status_reason,f_hz,f_hz_p05,f_hz_p95,f_hz_ci_minus,f_hz_ci_plus,sigma_f_hz,tau_ms,tau_ms_p05,tau_ms_p95,tau_ms_ci_minus,tau_ms_ci_plus,sigma_tau_ms,n_f_samples,n_tau_samples,M_final_Msun,sigma_M_final_Msun,chi_final,sigma_chi_final,z,sigma_z,gwosc_event_endpoint,gwosc_event_version,gwosc_event_version_catalog,gwosc_pe_endpoint,pe_parameter_run,pe_waveform_family,pe_is_preferred,pe_selection_note,pe_missing_fields,all_pe_runs,all_pe_runs_with_final_spin,pe_error,lnb_22_noise,snr_ringdown,best_mode_ds,cpnest_version,pe_model_for_peaktime,qnm_source,source_paper,source_table,method,mass_frame_note,sigma_note
GW230601_224134,GW230601A,PE_INCOMPLETE,final_spin,113.66640732348962,105.05069671012608,516.0275434583854,8.615710613363547,402.36113613489573,244.59643534036215,31.396208096436222,14.300450562030672,47.25179384211179,17.09575753440555,15.855585745675565,10.392557771675106,5321,5321,102.0,21.0,,,0.6,0.28,https://gwosc.org/api/v2/events/GW230601_224134,GW230601_224134-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230601_224134-v1/parameters,GWTC-4.0_GW230601_224134_C00:Mixed+XO4a_RW4_PE,C00:Mixed+XO4a,True,preferred_incomplete,final_spin,12,0,,24.880310501259718,8.766608792728997,1mode,v0.11.8,NRSur7dq4,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
GW230609_064958,GW230609A,PE_INCOMPLETE,final_spin,199.55124605378785,43.54847753557739,610.2089991215923,156.00276851821047,410.6577530678045,249.63997146978997,4.275582898164156,0.7567703048702537,34.26478905239103,3.5188125932939025,29.989206154226874,18.23052045849658,8536,8536,57.8,12.2,,,0.56,0.25,https://gwosc.org/api/v2/events/GW230609_064958,GW230609_064958-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230609_064958-v1/parameters,GWTC-4.0_GW230609_064958_C00:Mixed_RW2_PE,C00:Mixed,True,preferred_incomplete,final_spin,8,0,,5.988482709112194,5.767440865796287,1mode,v0.11.8,NRSur7dq4,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
GW230628_231200,GW230628A,PE_INCOMPLETE,final_spin,220.79398427494323,199.67066063114302,233.07410833732177,21.123323643800205,12.280124062378547,12.840926227234167,8.638258267669325,5.157468630857036,16.094708640211405,3.4807896368122897,7.456450372542079,4.532796579052936,6109,6109,56.5,8.1,,,0.4,0.17,https://gwosc.org/api/v2/events/GW230628_231200,GW230628_231200-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230628_231200-v1/parameters,GWTC-4.0_GW230628_231200_C00:Mixed_RW2_PE,C00:Mixed,True,preferred_incomplete,final_spin,8,0,,15.632437223317883,7.880911315887654,1mode,v0.11.8,NRSur7dq4,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
GW230811_032116,GW230811A,PE_INCOMPLETE,final_spin,217.95554613961448,198.98291157264194,651.9629669303067,18.972634566972545,434.0074207906922,263.8342983530044,11.125364008707649,2.574477059108095,32.21319965761393,8.550886949599555,21.087835648906278,12.819352978058527,7645,7645,55.3,8.3,,,0.38,0.18,https://gwosc.org/api/v2/events/GW230811_032116,GW230811_032116-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230811_032116-v1/parameters,GWTC-4.0_GW230811_032116_C00:Mixed_RW2_PE,C00:Mixed,True,preferred_incomplete,final_spin,6,0,,7.347065991515027,6.377024439758248,1mode,v0.9.9,IMRPhenomXPHM-SpinTaylor,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
GW230814_061920,GW230814A,PE_INCOMPLETE,final_spin,92.3885447322661,88.07109194358941,97.54623882893459,4.31745278867669,5.157694096668493,3.1353763505583543,18.073580068136735,9.116433252783692,33.85039784116953,8.957146815353044,15.776817773032796,9.590770682694709,6226,6226,105.0,24.0,,,0.65,0.42,https://gwosc.org/api/v2/events/GW230814_061920,GW230814_061920-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230814_061920-v1/parameters,GWTC-4.0_GW230814_061920_C00:Mixed+XO4a_RW4_PE,C00:Mixed+XO4a,True,preferred_incomplete,final_spin,12,0,,21.169317542877597,7.89415377402822,1mode,v0.9.9,NRSur7dq4,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
GW230824_033047,GW230824A,PE_INCOMPLETE,final_spin,115.617304685247,104.07625843911381,125.59214855923328,11.541046246133192,9.974843873986273,7.015833584275496,18.294133273553577,8.922223708571641,34.76579331170159,9.371909564981936,16.471660038148016,10.013167196442563,5441,5441,84.0,19.0,,,0.74,0.36,https://gwosc.org/api/v2/events/GW230824_033047,GW230824_033047-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230824_033047-v1/parameters,GWTC-4.0_GW230824_033047_C00:Mixed_RW2_PE,C00:Mixed,True,preferred_incomplete,final_spin,8,0,,16.641235036364723,7.15606866896555,1mode,v0.9.9,NRSur7dq4,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
GW230914_111401,GW230914A,PE_INCOMPLETE,final_spin,118.10268474730867,111.28460560246926,124.11683510483574,6.818079144839416,6.014150357527072,4.144728963428216,11.259957245017688,7.197390007736349,17.307961240420596,4.062567237281339,6.048003995402908,3.6765981734972084,5727,5727,90.9,14.0,,,0.47,0.23,https://gwosc.org/api/v2/events/GW230914_111401,GW230914_111401-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230914_111401-v1/parameters,GWTC-4.0_GW230914_111401_C00:Mixed+XO4a_RW4_PE,C00:Mixed+XO4a,True,preferred_incomplete,final_spin,12,0,,43.55332842665337,10.831354743316256,1mode,v0.11.8,NRSur7dq4,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
GW230922_020344,GW230922A,PE_INCOMPLETE,final_spin,190.30494415362028,151.92857363128778,221.58962619228387,38.37637052233251,31.28468203866359,23.329100621478727,4.702118386001058,2.4613852409180565,11.834028655258674,2.2407331450830017,7.131910269257616,4.335507762466635,6880,6880,65.4,8.4,,,0.31,0.12,https://gwosc.org/api/v2/events/GW230922_020344,GW230922_020344-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230922_020344-v1/parameters,GWTC-4.0_GW230922_020344_C00:Mixed_RW2_PE,C00:Mixed,True,preferred_incomplete,final_spin,8,0,,7.748441389161943,7.242400948618414,1mode,v0.9.9,NRSur7dq4,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
GW230922_040658,GW230922B,PE_INCOMPLETE,final_spin,72.96818449479376,53.798644323393454,81.18725565088717,19.169540171400307,8.219071156093406,11.65321590966584,17.88486597422224,9.704222387847272,33.85048582952032,8.180643586374968,15.965619855298083,9.705543984983636,14125,14125,119.0,34.0,,,0.96,0.47,https://gwosc.org/api/v2/events/GW230922_040658,GW230922_040658-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230922_040658-v1/parameters,GWTC-4.0_GW230922_040658_C00:Mixed_RW2_PE,C00:Mixed,True,preferred_incomplete,final_spin,8,0,,32.83467085459814,9.16630516791914,2mode,v0.11.8,NRSur7dq4,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
GW230924_124453,GW230924A,PE_INCOMPLETE,final_spin,228.02895590417086,212.28612901001839,245.14352424304337,15.742826894152472,17.114568338872516,10.403992911168702,10.281491939153774,4.667615137313044,26.04153519998118,5.61387680184073,15.760043260827405,9.580573410837328,5748,5748,49.3,6.6,,,0.42,0.16,https://gwosc.org/api/v2/events/GW230924_124453,GW230924_124453-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230924_124453-v1/parameters,GWTC-4.0_GW230924_124453_C00:Mixed_RW2_PE,C00:Mixed,True,preferred_incomplete,final_spin,8,0,,10.291685438115,6.905222632070591,1mode,v0.9.9,NRSur7dq4,runs_sync/active/gwtc4_pyring_inspection/extract/pyring/plotting_scripts_and_data/event_summary_samples/events_summary_file.h5,GWTC-4.0 Tests of General Relativity III: Tests of the Remnants - pyRing data release P2600130,pyRing event_summary_samples/events_summary_file.h5 DS posterior,pyRing_DS,"pyRing DS provides f_22/tau_22 only; M_final_Msun, chi_final, z are taken from external GWOSC PE when complete.","central 90% posterior interval converted to effective 1-sigma by max(+CI, -CI)/1.645"
